chr_start	GSM5956324	GSM5956325	GSM5956326	GSM5956336	GSM5956337	GSM5956338
chr1_1567485	0.0	0.0	0.0	2.0	0.0	0.0
chr1_8070460	0.0	0.0	0.0	0.0	0.0	4.0
chr1_8117231	0.0	0.0	0.0	0.0	0.0	0.0
chr1_8138437	0.0	0.0	0.0	0.0	0.0	2.0
chr1_30667973	0.0	0.0	0.0	4.0	0.0	0.0
chr1_38788951	0.0	0.0	0.0	4.0	0.0	0.0
chr1_41305868	0.0	0.0	0.0	2.0	0.0	0.0
chr1_59415848	0.0	0.0	0.0	2.0	2.0	6.0
chr1_62299773	0.0	0.0	0.0	0.0	4.0	0.0
chr1_68384738	0.0	0.0	0.0	0.0	0.0	0.0
chr1_102071389	0.0	0.0	0.0	0.0	6.0	2.0
chr1_107937169	0.0	0.0	0.0	6.0	2.0	2.0
chr1_107976558	0.0	0.0	0.0	0.0	0.0	0.0
chr1_114342256	0.0	0.0	0.0	0.0	2.0	0.0
chr1_116849074	0.0	0.0	0.0	0.0	0.0	0.0
chr1_116849082	0.0	0.0	0.0	0.0	0.0	2.0
chr1_171935502	0.0	0.0	0.0	0.0	4.0	0.0
chr1_186184352	0.0	0.0	0.0	0.0	0.0	4.0
chr1_188724086	0.0	0.0	0.0	0.0	4.0	0.0
chr1_204927918	0.0	0.0	0.0	0.0	0.0	0.0
chr1_204928053	0.0	0.0	0.0	0.0	6.0	4.0
chr1_214003936	0.0	0.0	0.0	0.0	0.0	0.0
chr1_218466731	0.0	0.0	0.0	0.0	0.0	0.0
chr1_229341766	0.0	0.0	0.0	0.0	0.0	2.0
chr2_14149296	0.0	0.0	0.0	0.0	1.0	0.0
chr2_15914407	0.0	0.0	0.0	0.0	0.0	2.0
chr2_18047688	0.0	0.0	0.0	2.0	0.0	0.0
chr2_24047192	0.0	0.0	0.0	0.0	4.0	0.0
chr2_28036365	0.0	0.0	0.0	0.0	0.0	2.0
chr2_33412300	0.0	0.0	0.0	0.0	4.0	0.0
chr2_37624581	0.0	0.0	0.0	2.0	6.0	0.0
chr2_37631659	0.0	0.0	0.0	4.0	2.0	0.0
chr2_39119532	0.0	0.0	0.0	0.0	0.0	0.0
chr2_41723485	0.0	0.0	0.0	0.0	2.0	0.0
chr2_41841257	0.0	0.0	0.0	0.0	4.0	0.0
chr2_47906622	0.0	0.0	0.0	0.0	0.0	0.0
chr2_63604592	0.0	0.0	0.0	0.0	2.0	0.0
chr2_64679979	0.0	0.0	0.0	0.0	0.0	2.0
chr2_67626322	0.0	0.0	0.0	0.0	4.0	0.0
chr2_88038653	0.0	0.0	2.0	0.0	2.0	0.0
chr2_103789768	0.0	0.0	0.0	0.0	0.0	2.0
chr2_108396796	0.0	0.0	0.0	0.0	4.0	0.0
chr2_113217997	0.0	0.0	0.0	0.0	2.0	0.0
chr2_136032822	0.0	0.0	0.0	0.0	2.0	0.0
chr2_147002719	0.0	0.0	0.0	0.0	2.0	0.0
chr2_176562755	0.0	0.0	0.0	0.0	4.0	0.0
chr2_177670872	0.0	0.0	0.0	0.0	2.0	0.0
chr2_180235749	0.0	0.0	0.0	0.0	0.0	4.0
chr2_184004589	0.0	0.0	0.0	0.0	4.0	4.0
chr2_186130007	0.0	0.0	0.0	0.0	2.0	0.0
chr2_186544337	0.0	0.0	0.0	2.0	4.0	0.0
chr2_189222314	0.0	0.0	0.0	0.0	2.0	0.0
chr2_225354352	0.0	0.0	0.0	2.0	8.0	6.0
chr2_226799710	0.0	0.0	0.0	0.0	4.0	0.0
chr2_228106564	0.0	0.0	0.0	2.0	0.0	0.0
chr3_10575	0.0	0.0	0.0	0.0	2.0	0.0
chr3_2024629	0.0	0.0	0.0	0.0	2.0	0.0
chr3_5784694	0.0	0.0	0.0	0.0	2.0	0.0
chr3_23590931	0.0	0.0	0.0	4.0	6.0	0.0
chr3_86870141	0.0	0.0	0.0	0.0	4.0	0.0
chr3_99690303	0.0	0.0	0.0	0.0	0.0	0.0
chr3_100034313	0.0	0.0	0.0	0.0	2.0	0.0
chr3_101936419	0.0	0.0	0.0	0.0	0.0	0.0
chr3_106826603	0.0	0.0	0.0	0.0	2.0	0.0
chr3_119778485	0.0	0.0	0.0	2.0	0.0	0.0
chr3_138737718	0.0	0.0	0.0	0.0	0.0	4.0
chr3_148043071	0.0	0.0	0.0	6.0	0.0	0.0
chr3_181757960	0.0	0.0	0.0	0.0	4.0	0.0
chr4_5525774	0.0	0.0	0.0	4.0	0.0	0.0
chr4_30822279	0.0	0.0	0.0	6.0	0.0	4.0
chr4_31160163	0.0	0.0	0.0	0.0	2.0	0.0
chr4_41143419	0.0	0.0	0.0	0.0	0.0	0.0
chr4_41525607	0.0	0.0	0.0	2.0	0.0	0.0
chr4_50255630	0.0	0.0	0.0	0.0	0.0	2.0
chr4_55013556	0.0	0.0	0.0	0.0	2.0	0.0
chr4_55217244	0.0	0.0	0.0	4.0	5.0	2.0
chr4_62523261	0.0	0.0	0.0	0.0	2.0	0.0
chr4_72931862	0.0	0.0	0.0	0.0	2.0	0.0
chr4_73450862	0.0	0.0	0.0	0.0	0.0	0.0
chr4_76658747	0.0	0.0	0.0	0.0	0.0	2.0
chr4_85114208	0.0	0.0	0.0	2.0	0.0	4.0
chr4_89753480	0.0	0.0	0.0	0.0	8.0	0.0
chr4_89753650	0.0	0.0	0.0	4.0	0.0	0.0
chr4_125891536	0.0	0.0	0.0	2.0	4.0	0.0
chr4_139243632	0.0	0.0	0.0	0.0	0.0	0.0
chr4_140813530	0.0	0.0	0.0	0.0	0.0	0.0
chr4_153539106	0.0	0.0	0.0	0.0	0.0	0.0
chr4_167688769	0.0	0.0	0.0	2.0	4.0	2.0
chr4_182338509	0.0	0.0	0.0	0.0	0.0	0.0
chr5_32027719	0.0	0.0	0.0	2.0	2.0	0.0
chr5_32780264	0.0	0.0	0.0	0.0	0.0	0.0
chr5_37737975	0.0	0.0	0.0	0.0	0.0	2.0
chr5_42855746	0.0	0.0	0.0	2.0	8.0	4.0
chr5_42855763	0.0	0.0	0.0	2.0	8.0	4.0
chr5_54390433	0.0	0.0	0.0	0.0	0.0	2.0
chr5_70576268	0.0	0.0	0.0	0.0	4.0	0.0
chr5_71279933	0.0	0.0	0.0	2.0	4.0	0.0
chr5_71280000	0.0	0.0	0.0	0.0	2.0	0.0
chr5_88904548	0.0	0.0	0.0	4.0	0.0	0.0
chr5_117380162	0.0	0.0	0.0	0.0	4.0	0.0
chr5_125134557	0.0	0.0	0.0	0.0	4.0	2.0
chr5_157107367	0.0	0.0	0.0	0.0	0.0	0.0
chr5_167206520	0.0	0.0	0.0	0.0	4.0	0.0
chr5_175235611	0.0	0.0	0.0	0.0	4.0	4.0
chr5_175378860	0.0	0.0	0.0	2.0	6.0	0.0
chr6_16205268	0.0	0.0	0.0	0.0	0.0	4.0
chr6_44661053	0.0	0.0	0.0	0.0	4.0	0.0
chr6_44661154	0.0	0.0	0.0	4.0	0.0	0.0
chr6_44917796	0.0	0.0	0.0	2.0	0.0	0.0
chr6_45325634	0.0	0.0	0.0	2.0	0.0	0.0
chr6_81760790	0.0	0.0	0.0	2.0	4.0	0.0
chr6_88418780	0.0	0.0	0.0	0.0	2.0	0.0
chr6_122736252	0.0	0.0	0.0	0.0	2.0	2.0
chr6_132972152	0.0	0.0	0.0	0.0	2.0	0.0
chr6_153298801	0.0	0.0	0.0	0.0	0.0	4.0
chr6_169618886	0.0	0.0	0.0	4.0	2.0	2.0
chr7_24821132	0.0	0.0	0.0	0.0	0.0	0.0
chr7_69807908	0.0	0.0	0.0	0.0	0.0	0.0
chr7_80833804	0.0	0.0	0.0	0.0	4.0	2.0
chr7_81161876	0.0	0.0	0.0	0.0	2.0	0.0
chr7_84701814	0.0	0.0	0.0	2.0	2.0	2.0
chr7_90625906	0.0	0.0	0.0	0.0	2.0	0.0
chr7_91020997	0.0	0.0	0.0	0.0	0.0	0.0
chr7_92475774	0.0	0.0	0.0	1.0	2.0	0.0
chr7_100336174	0.0	0.0	0.0	4.0	0.0	0.0
chr7_101432832	0.0	0.0	0.0	0.0	0.0	0.0
chr7_116218015	0.0	0.0	0.0	4.0	0.0	0.0
chr7_116317675	0.0	0.0	0.0	2.0	0.0	0.0
chr7_125560282	0.0	0.0	0.0	0.0	4.0	0.0
chr7_130365503	0.0	0.0	0.0	0.0	0.0	0.0
chr7_131824342	0.0	0.0	0.0	0.0	2.0	0.0
chr7_141362514	0.0	0.0	0.0	0.0	2.0	0.0
chr8_8390966	0.0	0.0	0.0	0.0	4.0	0.0
chr8_27910491	0.0	0.0	0.0	0.0	0.0	0.0
chr8_32585741	0.0	0.0	0.0	0.0	0.0	2.0
chr8_67565330	0.0	0.0	0.0	4.0	0.0	0.0
chr8_87590955	0.0	0.0	0.0	0.0	2.0	0.0
chr8_96830248	0.0	0.0	0.0	0.0	4.0	0.0
chr8_112615485	0.0	0.0	0.0	0.0	0.0	2.0
chr8_120404218	0.0	0.0	0.0	0.0	2.0	0.0
chr8_129276974	0.0	0.0	0.0	0.0	0.0	3.0
